user_id,item_id,rating
482,18,7
65,557,3
26,106,0
215,534,5
403,355,0
120,361,5
425,296,3
38,677,0
126,624,0
348,325,2
479,528,4
119,328,3
163,30,7
183,505,7
412,36,2
440,239,10
220,746,0
104,338,2
593,222,1
460,402,2
76,268,6
218,679,9
382,708,9
48,49,0
137,113,3
99,257,0
598,446,0
495,663,2
266,608,8
185,287,0
156,798,0
242,304,4
330,586,6
195,71,2
353,149,5
489,597,6
151,197,4
472,696,6
137,580,2
66,387,2
330,126,3
177,741,0
243,112,4
101,524,3
426,58,3
343,65,3
361,453,3
569,246,5
33,296,0
446,672,4
528,346,5
243,83,2
362,789,0
189,182,7
430,662,4
594,78,5
406,7,2
529,488,5
25,198,0
593,259,3
125,777,1
106,232,2
76,467,3
269,747,1
251,502,4
105,188,2
322,232,2
72,486,7
193,393,3
230,79,3
148,213,2
344,527,8
36,78,1
43,48,0
268,204,4
11,377,0
297,48,8
90,798,0
13,685,0
6,532,0
405,697,2
344,117,3
404,705,4
512,722,3
572,758,0
373,505,7
277,62,2
290,683,4
212,610,2
36,331,0
123,709,1
315,30,7
457,120,5
460,249,1
380,390,5
268,19,5
547,235,0
590,611,7
154,38,2
185,45,1
22,773,0
86,152,7
120,614,5
326,231,10
578,262,4
129,202,3
189,471,3
50,210,0
194,70,5
103,392,1
518,382,0
18,501,1
132,337,3
505,238,0
562,78,3
519,784,0
520,740,0
235,306,4
34,685,0
196,382,0
234,357,4
58,513,0
585,413,3
419,579,4
313,416,0
591,93,5
76,156,1
563,471,2
174,242,4
297,371,5
18,637,0
245,186,3
85,257,0
210,712,4
265,301,2
398,213,1
28,191,0
335,410,1
22,101,0
415,634,3
10,447,0
241,664,6
47,722,0
322,488,4
491,268,7
538,176,3
138,159,5
180,634,1
396,239,6
599,697,2
404,796,0
432,355,0
18,588,0
148,464,5
491,220,1
354,53,4
88,333,6
267,400,0
233,448,6
307,102,3
136,622,0
43,113,0
166,692,0
326,58,4
15,736,0
377,568,0
463,162,3
36,382,0
418,93,5
373,553,4
441,346,4
56,2,0
192,443,2
556,158,2
204,437,7
302,169,5
54,726,0
12,385,0
546,250,3
378,382,0
18,571,0
421,786,0
63,359,5
470,244,1
591,79,2
582,711,4
7,131,0
16,573,0
357,182,6
236,357,4
574,333,4
120,412,3
52,548,0
414,272,7
384,2,3
70,279,4
579,339,2
446,748,0
572,363,0
85,331,8
541,308,8
275,95,0
227,736,9
102,693,8
71,139,3
436,620,4
298,393,4
88,106,4
222,215,2
217,433,3
342,172,8
322,289,2
469,14,5
249,198,1
354,178,1
385,734,1
170,188,1
9,127,0
467,9,3
347,103,6
148,437,8
209,245,3
426,32,6
267,777,0
352,43,0
414,259,4
250,513,4
140,768,0
227,734,2
244,301,3
300,58,4
381,488,6
438,483,4
589,218,5
367,480,3
194,277,5
259,549,3
360,535,3
27,462,0
485,581,4
204,599,6
341,82,0
243,619,5
577,573,3
502,229,4
292,792,0
140,272,5
242,726,1
217,58,3
132,565,0
570,534,5
580,233,6
293,519,9
166,651,3
236,722,2
197,359,7
186,792,0
191,732,1
78,713,4
179,401,5
152,134,1
272,633,2
538,18,6
578,762,0
549,743,0
10,155,0
148,195,5
599,719,2
34,257,0
215,33,7
39,727,0
257,552,3
507,141,1
127,203,1
214,501,4
306,472,1
126,558,5
198,403,8
574,10,4
251,387,2
308,246,5
222,668,5
54,217,1
342,38,2
364,122,2
523,616,2
272,616,3
13,100,0
190,667,2
373,748,0
373,456,3
197,292,1
495,772,1
10,633,0
120,179,2
462,279,4
381,156,0
438,540,1
426,748,1
298,284,1
321,412,2
37,50,0
142,32,5
479,255,7
461,651,4
212,519,6
563,584,3
275,672,4
220,513,3
128,534,7
189,309,1
313,573,2
99,736,7
588,355,0
34,526,0
186,588,3
102,398,2
571,555,4
215,204,4
230,328,3
16,736,0
103,486,5
174,709,1
140,104,6
388,69,3
497,642,2
72,388,2
493,115,1
212,411,4
7,500,0
378,295,10
242,253,2
32,573,0
289,145,4
598,321,3
302,680,1
268,271,4
245,732,2
78,570,4
456,550,4
410,607,3
563,727,5
492,762,0
9,411,0
216,45,1
379,222,2
149,125,5
158,141,1
495,19,6
599,233,3
466,332,2
505,145,3
435,259,3
198,298,6
61,518,8
269,461,4
151,720,2
30,175,0
564,266,2
145,466,1
140,217,5
385,735,3
38,519,0
561,723,4
251,341,2
272,518,6
479,355,0
426,598,1
301,447,8
237,470,2
119,24,3
177,585,6
410,533,2
54,626,0
234,486,6
551,280,2
38,42,0
458,124,2
560,85,3
228,749,0
542,239,9
220,433,1
177,631,2
397,502,5
150,231,6
177,268,7
393,526,3
238,713,2
119,333,5
126,45,1
128,104,5
548,161,1
573,73,5
342,176,5
151,262,3
41,122,0
279,349,4
419,306,3
582,110,4
580,786,0
5,429,0
58,493,1
152,331,3
272,719,3
212,533,3
307,586,8
26,365,0
522,136,3
384,12,2
394,719,4
532,542,7
414,422,9
116,635,7
425,416,2
385,207,4
492,21,3
545,36,3
76,412,2
528,553,5
298,70,5
238,177,1
321,272,9
415,609,6
236,18,6
52,449,0
6,141,0
505,78,5
52,657,0
325,159,3
52,641,0
236,9,3
126,73,5
398,712,2
430,185,5
582,390,7
327,384,3
381,343,3
580,101,3
104,195,7
546,112,5
215,611,6
52,35,0
466,532,5
186,432,3
490,152,6
319,133,0
429,247,4
238,772,0
408,682,1
436,528,2
554,754,1
38,132,0
13,768,0
306,173,2
245,548,4
443,601,2
235,350,3
166,601,1
258,40,1
301,140,3
567,281,2
593,717,3
579,727,5
69,611,5
140,112,6
397,699,1
105,76,4
73,153,4
451,106,3
301,302,3
190,301,4
522,445,2
242,408,2
234,218,5
144,30,4
121,655,1
